0.004 | 0.004 | 0 | 0.04
0.004 | 0.008 | 0 | 0.08
0.004 | 0.012 | 0 | 0.12
0.004 | 0.016 | 0 | 0.16
0.004 | 0.02 | 0 | 0.2
0.004 | 0.024 | 0 | 0.24
0.004 | 0.028 | 0 | 0.28
0.004 | 0.032 | 0 | 0.32
0.004 | 0.036 | 0 | 0.36
0.004 | 0.04 | 0 | 0.4
0.004 | 0.044 | 0 | 0.44
0.004 | 0.048 | 0 | 0.48
0.004 | 0.052 | 0 | 0.52
0.004 | 0.056 | 0 | 0.56
0.004 | 0.06 | 0 | 0.6
0.004 | 0.064 | 0 | 0.64
0.004 | 0.068 | 0 | 0.68
0.004 | 0.072 | 0 | 0.72
0.004 | 0.076 | 0 | 0.76
0.004 | 0.08 | 0 | 0.8
0.004 | 0.084 | 0 | 0.84
0.004 | 0.088 | 0 | 0.88
0.004 | 0.092 | 0 | 0.92
0.004 | 0.096 | 0 | 0.96
0.004 | 7.45058e-09 | 1 | 7.45058e-08
0.004 | 0.00400001 | 0 | 0.0400001
0.004 | 0.00800001 | 0 | 0.0800001
0.004 | 0.012 | 0 | 0.12
0.004 | 0.016 | 0 | 0.16
0.004 | 0.02 | 0 | 0.2
0.004 | 0.024 | 0 | 0.24
0.004 | 0.028 | 0 | 0.28
0.004 | 0.032 | 0 | 0.32
0.004 | 0.036 | 0 | 0.36
0.004 | 0.04 | 0 | 0.4
0.004 | 0.044 | 0 | 0.44
0.004 | 0.048 | 0 | 0.48
0.004 | 0.052 | 0 | 0.52
0.004 | 0.056 | 0 | 0.56
0.004 | 0.06 | 0 | 0.6
0.004 | 0.064 | 0 | 0.64
0.004 | 0.068 | 0 | 0.68
0.004 | 0.072 | 0 | 0.72
0.004 | 0.076 | 0 | 0.76
0.004 | 0.08 | 0 | 0.8
0.004 | 0.084 | 0 | 0.84
0.004 | 0.088 | 0 | 0.88
0.004 | 0.092 | 0 | 0.92
0.004 | 0.096 | 0 | 0.96
0.004 | 1.49012e-08 | 1 | 1.49012e-07
0.004 | 0.00400002 | 0 | 0.0400002
0.004 | 0.00800002 | 0 | 0.0800002
0.004 | 0.012 | 0 | 0.12
0.004 | 0.016 | 0 | 0.16
0.004 | 0.02 | 0 | 0.2
